geneID	x	y	MIDCounts
0610009B22Rik	8938	8188	2
0610009B22Rik	10260	8646	1
0610009B22Rik	10596	11539	4
0610009B22Rik	7812	8661	2
0610009B22Rik	7028	17346	1
0610009B22Rik	7929	11355	1
0610009B22Rik	6532	14127	2
0610009B22Rik	9889	15739	1
0610009B22Rik	12029	11331	1
0610009B22Rik	7287	10266	1
0610009B22Rik	12931	10426	2
0610009B22Rik	12196	12683	3
0610009B22Rik	9155	16418	1
0610009B22Rik	9437	16817	1
0610009B22Rik	5781	14765	1
0610009B22Rik	11777	12403	2
0610009B22Rik	8537	8457	3
0610009B22Rik	6777	17865	3
0610009B22Rik	6825	17287	2
0610009B22Rik	10505	10855	4
0610009B22Rik	9654	9220	2
0610009B22Rik	7161	18895	2
0610009B22Rik	6402	17131	1
0610009B22Rik	9101	13350	1
0610009B22Rik	12522	10693	2
0610009B22Rik	10084	15967	1
0610009B22Rik	12132	9478	2
0610009B22Rik	12685	13539	1
0610009B22Rik	7302	16051	1
0610009B22Rik	8878	13873	1
0610009B22Rik	9016	10438	1
0610009B22Rik	9009	7965	3
0610009B22Rik	6437	13624	4
0610009B22Rik	7143	8445	2
0610009B22Rik	12237	11256	1
0610009B22Rik	10209	7301	1
0610009B22Rik	11194	13600	1
0610009B22Rik	12848	11203	1
0610009B22Rik	8528	7486	1
0610009B22Rik	4286	11789	1
0610009B22Rik	10558	15383	1
0610009B22Rik	12201	10364	4
0610009B22Rik	8671	17600	1
0610009B22Rik	5539	13344	1
0610009B22Rik	10109	14951	3
0610009B22Rik	10862	15845	1
0610009B22Rik	9575	8641	4
0610009B22Rik	11116	11004	2
0610009B22Rik	10406	11826	2
0610009B22Rik	11093	11282	1
0610009B22Rik	7987	6831	1
0610009B22Rik	4142	12521	2
0610009B22Rik	7823	8721	2
0610009B22Rik	5964	10281	1
0610009B22Rik	12508	11395	1
0610009B22Rik	7784	7598	1
0610009B22Rik	10254	10661	2
0610009B22Rik	6734	8910	1
0610009B22Rik	4872	12306	1
0610009B22Rik	6373	12978	2
0610009B22Rik	6877	13957	1
0610009B22Rik	9185	16750	1
0610009B22Rik	7549	13009	2
0610009B22Rik	5800	9121	1
0610009B22Rik	10810	15044	1
0610009B22Rik	6987	7167	1
0610009B22Rik	12220	12612	2
0610009B22Rik	7139	8303	7
0610009B22Rik	10776	15914	1
0610009B22Rik	12379	11564	1
0610009B22Rik	12644	10246	2
0610009B22Rik	6434	9306	1
0610009B22Rik	6445	13222	1
0610009B22Rik	12197	8566	1
0610009B22Rik	8494	11305	1
0610009B22Rik	12178	15348	1
0610009B22Rik	10850	8297	2
0610009B22Rik	6440	8888	1
0610009B22Rik	8408	10739	1
0610009B22Rik	8357	9420	1
0610009B22Rik	10145	8911	2
0610009B22Rik	12657	13523	3
0610009B22Rik	7067	16691	1
0610009B22Rik	9193	8443	2
0610009B22Rik	10443	16343	2
0610009B22Rik	12719	11498	2
0610009B22Rik	8912	7335	2
0610009B22Rik	8849	14042	2
0610009B22Rik	10334	10826	3
0610009B22Rik	9370	11371	1
0610009B22Rik	9699	16179	3
0610009B22Rik	7633	7925	2
0610009B22Rik	10757	12715	2
0610009B22Rik	8734	8872	2
0610009B22Rik	10436	15920	2
0610009B22Rik	8886	16200	2
0610009B22Rik	8253	15496	2
